day_count_0_25,day_count_0_5,day_count_0_75,day_count_1_0,day_count_2_0,day_count_3_0,day_count_4_0,pop_count_0_25,pop_count_0_5,pop_count_0_75,pop_count_1_0,pop_count_2_0,pop_count_3_0,pop_count_4_0,burger_0_25,burger_0_5,burger_0_75,burger_1_0,burger_2_0,burger_3_0,burger_4_0,other_0_25,other_0_5,other_0_75,other_1_0,other_2_0,other_3_0,other_4_0,pizza_0_25,pizza_0_5,pizza_0_75,pizza_1_0,pizza_2_0,pizza_3_0,pizza_4_0,org_retail_visits_0_25,org_retail_visits_0_5,org_retail_visits_0_75,org_retail_visits_1_0,org_retail_visits_2_0,org_retail_visits_3_0,org_retail_visits_4_0,unorg_retail_visits_0_25,unorg_retail_visits_0_5,unorg_retail_visits_0_75,unorg_retail_visits_1_0,unorg_retail_visits_2_0,unorg_retail_visits_3_0,unorg_retail_visits_4_0,High_0_25,High_0_5,High_0_75,High_1_0,High_2_0,High_3_0,High_4_0,Medium_0_25,Medium_0_5,Medium_0_75,Medium_1_0,Medium_2_0,Medium_3_0,Medium_4_0,Low_0_25,Low_0_5,Low_0_75,Low_1_0,Low_2_0,Low_3_0,Low_4_0,density_lvl_0_25,density_lvl_0_5,density_lvl_0_75,density_lvl_1_0,density_lvl_2_0,density_lvl_3_0,density_lvl_4_0,road_cnt_0_25,road_cnt_0_5,road_cnt_0_75,road_cnt_1_0,road_cnt_2_0,road_cnt_3_0,road_cnt_4_0,coffee_shop_0_25,coffee_shop_0_5,coffee_shop_0_75,coffee_shop_1_0,coffee_shop_2_0,coffee_shop_3_0,coffee_shop_4_0,fast_food_restaurant_0_25,fast_food_restaurant_0_5,fast_food_restaurant_0_75,fast_food_restaurant_1_0,fast_food_restaurant_2_0,fast_food_restaurant_3_0,fast_food_restaurant_4_0,ice_cream_shop_0_25,ice_cream_shop_0_5,ice_cream_shop_0_75,ice_cream_shop_1_0,ice_cream_shop_2_0,ice_cream_shop_3_0,ice_cream_shop_4_0,pizza_restaurant_0_25,pizza_restaurant_0_5,pizza_restaurant_0_75,pizza_restaurant_1_0,pizza_restaurant_2_0,pizza_restaurant_3_0,pizza_restaurant_4_0,restaurant_0_25,restaurant_0_5,restaurant_0_75,restaurant_1_0,restaurant_2_0,restaurant_3_0,restaurant_4_0,size,concept_type,city,region,target
590,2022,3720,6944,24673,48211,64642,564,2006,3565,6783,24054,46564,62504,1,2,2,3,4,12,13,0,0,0,0,0,1,1,1,1,1,1,2,7,8,0,0,0,0,12964,12964,37642,0,512,4695,12182,71787,308270,308270,0,0,0,0,0,0,0,9,36,70,120,406,813,1190,0,0,0,0,0,0,0,3.722222222,3.166666667,2.957142857,3.183333333,2.922105263,2.799090909,2.617372183,79,260,497,807,2798,5666,7985,0,0,0,0,0,1,2,0,0,0,1,2,7,7,1,1,1,1,2,3,3,1,1,1,1,2,6,7,1,2,3,3,6,8,8,286.8573,IL,riyadh,riyadh_region,4888254.998
427,1120,1949,3410,11167,20545,35977,250,907,1725,3025,10375,19684,34746,4,4,5,6,10,10,13,0,0,0,0,0,0,1,0,0,0,1,4,4,5,307762,435082,435082,438899,500172,549748,580722,1105,4420,8421,32960,169415,301057,434087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,2.472972973,2.119047619,2.214765101,2.019348269,1.975991649,1.908104659,35,118,219,369,1327,2511,4168,0,0,1,1,5,5,7,1,1,1,2,5,5,5,0,0,0,0,0,2,3,1,1,1,2,6,7,8,3,3,3,3,7,9,12,72.32,FC,other,ḥail_province,2862160.623
532,2710,5176,10186,36727,68759,116027,539,2662,5099,10253,36994,69292,116550,0,0,1,2,9,10,26,0,0,0,0,0,0,1,1,1,4,4,5,5,8,0,0,0,0,0,27072,1717994,3172,3172,8234,28058,182025,384826,689711,0,0,0,0,0,0,3,2,16,36,70,291,581,883,6,22,42,75,275,700,1383,3.777777778,3.576923077,3.463414634,3.36,3.264604811,3.193792581,3.020382166,103,291,630,1080,3691,7754,13846,1,1,2,2,2,4,5,0,0,0,0,2,2,12,0,0,1,1,4,4,8,2,2,4,4,6,6,11,1,1,2,2,8,11,18,196.959,ILDT,dammam,eastern_province,4033007.517
682,2464,4089,7273,26611,42798,59421,682,2507,4093,7072,26192,41967,58323,0,0,0,0,4,14,14,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,632520,927748,18282,18282,25874,25874,101899,315596,479070,0,0,0,0,29,133,324,0,0,0,11,197,417,594,10,35,83,127,282,439,679,2.1,2.228571429,2.178571429,2.269230769,2.285335689,2.210260723,2.018274854,85,274,536,915,3250,5526,8181,0,0,0,0,0,0,1,0,0,0,0,3,6,6,0,0,0,0,2,3,6,0,0,0,0,2,4,6,0,0,0,1,3,13,14,129.5,ILDT,other,eastern_province,3683833.046
754,2155,4225,6657,25903,56247,109079,798,2225,4436,6958,26105,55766,109197,1,3,4,5,12,30,47,0,0,0,0,1,3,5,0,0,1,2,4,4,7,0,0,705,1410,152210,1737477,3616601,29578,63144,91884,120941,277981,500471,1047923,9,37,82,145,566,1191,1718,0,0,0,0,0,32,231,0,0,0,0,0,0,0,4.277777778,3.986486486,3.713414634,3.437931034,3.143992933,3.113745981,3.175417076,80,278,547,917,3740,7648,12642,0,0,0,0,0,0,1,0,1,2,3,8,20,32,1,1,1,1,3,6,11,0,0,1,3,6,7,9,1,2,2,2,2,5,11,113.4,ILDT,jeddah,makkah_region,3500566.183
1945,4185,7516,17092,78080,148992,267023,2089,4479,8152,17842,83595,158474,278863,2,4,5,7,8,17,41,1,2,2,3,4,9,14,0,2,2,3,4,10,20,175476,175476,175476,175476,178905,370363,1064131,21086,42230,42680,189547,448712,1581314,2359625,0,0,1,14,133,355,707,0,0,0,0,58,222,629,10,39,78,132,382,710,975,5.05,5.192307692,5.335443038,5.506622517,5.776559865,5.562170309,5.156606163,133,505,994,1868,6547,14023,26709,0,0,0,0,2,3,10,2,2,3,5,6,12,27,1,1,1,1,1,5,12,0,2,3,4,6,17,30,1,3,3,3,4,11,24,71.2236,FC,riyadh,riyadh_region,1680120.334
977,1400,1879,2260,5756,18850,39565,490,805,1315,1658,5136,17962,38727,9,9,9,9,10,19,25,1,1,1,1,1,2,3,0,0,0,0,0,2,3,731624,1646154,1646154,1646154,1655350,1706839,1815705,0,0,0,0,34322,221530,356380,8,34,77,121,373,817,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1875,2.338235294,2.25974026,2.035433071,1.964824121,2.499415205,2.680727023,75,242,346,434,1276,3796,7189,0,0,0,0,0,0,1,5,5,5,5,6,12,17,1,1,1,1,2,5,8,0,0,0,0,0,4,5,2,2,2,2,2,3,5,47.328,FC,jeddah,makkah_region,3671408.579
33,47,68,82,414,883,1633,25,40,64,72,484,950,1685,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.444444444,4,3.794871795,3.739583333,3.200934579,2.186507937,1.982798165,8,19,38,44,94,198,357,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,3,3,3,3,3,107.16,ILDT,other,eastern_province,1720838.617
508,747,830,856,1127,4479,10546,618,838,938,960,1269,4592,10473,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,137,0,0,0,0,9,111,311,1.95,1.578125,1.281818182,1.189393939,0.989583333,1.36318408,1.417562724,17,50,71,77,144,512,1227,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.56,FC,madina,medina_province,5081457.404
1373,1713,1883,1989,3063,6619,7564,1713,2167,2391,2530,3857,8763,10000,1,1,1,1,1,5,5,1,1,1,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.932432432,2.782608696,2.365,1.802047782,1.60564663,1.459601874,48,159,206,243,461,744,966,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,2,3,3,236.21,FC,riyadh,riyadh_region,21393600.44
